2025-05-25 20:56:43,339 |     INFO | mcp_agent | info:110 | ==================================================
2025-05-25 20:56:43,346 |     INFO | mcp_agent | info:110 | Ollama connected. Available models: ['llava:13b', 'phi3:medium', 'mxbai-embed-large:latest', 'bge-m3:latest', 'nomic-embed-text:latest', 'llama2:latest', 'mistral:7b', 'neural-chat:7b', 'all-minilm:latest', 'mistral:latest', 'qllama/bge-reranker-large:latest', 'qllama/bge-large-en-v1.5:latest', 'orca2:latest', 'all-minilm:l6-v2']
2025-05-25 20:56:43,371 |     INFO | mcp_agent | info:110 | Screen capture initialized with backend: mss
2025-05-25 20:56:43,380 |     INFO | mcp_agent | info:110 | Tesseract found: tesseract
2025-05-25 20:56:43,381 |     INFO | mcp_agent | info:110 | OCR initialized with Tesseract: tesseract
2025-05-25 20:56:43,381 |     INFO | mcp_agent | info:110 | Perceiver component initialized
2025-05-25 20:56:43,381 |     INFO | mcp_agent | info:110 | Screen interaction initialized. Scaling: 1.0
2025-05-25 20:56:43,381 |     INFO | mcp_agent | info:110 | Controller component initialized
2025-05-25 20:56:43,383 |     INFO | mcp_agent | info:110 | MCP Agent initialized
2025-05-25 20:56:43,384 |     INFO | mcp_agent | info:110 | Starting MCP Agent...
2025-05-25 20:56:43,390 |     INFO | mcp_agent | info:110 | Ollama connected. Available models: ['llava:13b', 'phi3:medium', 'mxbai-embed-large:latest', 'bge-m3:latest', 'nomic-embed-text:latest', 'llama2:latest', 'mistral:7b', 'neural-chat:7b', 'all-minilm:latest', 'mistral:latest', 'qllama/bge-reranker-large:latest', 'qllama/bge-large-en-v1.5:latest', 'orca2:latest', 'all-minilm:l6-v2']
2025-05-25 20:56:43,392 |     INFO | mcp_agent | info:110 | System monitoring started
2025-05-25 20:56:43,392 |     INFO | mcp_agent | info:110 | Perceiver started
2025-05-25 20:56:44,393 |     INFO | mcp_agent | info:110 | Controller started
2025-05-25 20:56:44,393 |     INFO | mcp_agent | info:110 | All components started successfully
2025-05-25 20:56:44,393 |     INFO | mcp_agent | info:110 | MCP Agent running. Press Ctrl+C to stop.
2025-05-25 20:56:44,396 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:44,396 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:44,396 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:46,396 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:46,397 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:46,397 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:48,397 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:48,398 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:48,398 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:50,399 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:50,399 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:50,399 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:52,400 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:52,400 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:52,400 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:54,401 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:54,401 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:54,401 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:54,844 |     INFO | mcp_agent | info:110 | Received signal 15, shutting down...
2025-05-25 20:56:54,844 |     INFO | mcp_agent | info:110 | Stopping MCP Agent...
2025-05-25 20:56:54,844 |     INFO | mcp_agent | info:110 | Controller stopped
2025-05-25 20:56:54,844 |     INFO | mcp_agent | info:110 | Perceiver stopped
2025-05-25 20:56:56,844 |     INFO | mcp_agent | info:110 | System monitoring stopped
2025-05-25 20:56:56,845 |     INFO | mcp_agent | info:110 | Metrics saved to ./data/metrics.jsonl
2025-05-25 20:56:56,845 |     INFO | mcp_agent | info:110 | MCP Agent stopped
2025-05-25 20:56:56,845 |     INFO | mcp_agent | info:110 | Stopping MCP Agent...
2025-05-25 20:56:56,845 |     INFO | mcp_agent | info:110 | Controller stopped
2025-05-25 20:56:56,845 |     INFO | mcp_agent | info:110 | Perceiver stopped
2025-05-25 20:56:58,695 |     INFO | mcp_agent | info:110 | System monitoring stopped
2025-05-25 20:56:58,696 |     INFO | mcp_agent | info:110 | Metrics saved to ./data/metrics.jsonl
2025-05-25 20:56:58,696 |     INFO | mcp_agent | info:110 | MCP Agent stopped
2025-05-25 20:57:55,384 |     INFO | mcp_agent | info:110 | MCP Logger initialized
2025-05-25 20:57:55,387 |     INFO | mcp_agent | info:110 | Platform detected: linux
2025-05-25 20:57:55,463 |     INFO | mcp_agent | info:110 | Ollama connected. Available models: ['llava:13b', 'phi3:medium', 'mxbai-embed-large:latest', 'bge-m3:latest', 'nomic-embed-text:latest', 'llama2:latest', 'mistral:7b', 'neural-chat:7b', 'all-minilm:latest', 'mistral:latest', 'qllama/bge-reranker-large:latest', 'qllama/bge-large-en-v1.5:latest', 'orca2:latest', 'all-minilm:l6-v2']
2025-05-25 20:57:55,814 |     INFO | mcp_agent | info:110 | ==================================================
2025-05-25 20:57:55,814 |     INFO | mcp_agent | info:110 | Starting MCP AI Agent
2025-05-25 20:57:55,815 |     INFO | mcp_agent | info:110 | Python version: 3.11.0rc1 (main, Aug 12 2022, 10:02:14) [GCC 11.2.0]
2025-05-25 20:57:55,815 |     INFO | mcp_agent | info:110 | Platform: linux
2025-05-25 20:57:55,815 |     INFO | mcp_agent | info:110 | ==================================================
2025-05-25 20:57:55,818 |     INFO | mcp_agent | info:110 | Ollama connected. Available models: ['llava:13b', 'phi3:medium', 'mxbai-embed-large:latest', 'bge-m3:latest', 'nomic-embed-text:latest', 'llama2:latest', 'mistral:7b', 'neural-chat:7b', 'all-minilm:latest', 'mistral:latest', 'qllama/bge-reranker-large:latest', 'qllama/bge-large-en-v1.5:latest', 'orca2:latest', 'all-minilm:l6-v2']
2025-05-25 20:57:55,829 |     INFO | mcp_agent | info:110 | Screen capture initialized with backend: mss
2025-05-25 20:57:55,835 |     INFO | mcp_agent | info:110 | Tesseract found: tesseract
2025-05-25 20:57:55,835 |     INFO | mcp_agent | info:110 | OCR initialized with Tesseract: tesseract
2025-05-25 20:57:55,835 |     INFO | mcp_agent | info:110 | Perceiver component initialized
2025-05-25 20:57:55,835 |     INFO | mcp_agent | info:110 | Screen interaction initialized. Scaling: 1.0
2025-05-25 20:57:55,836 |     INFO | mcp_agent | info:110 | Controller component initialized
2025-05-25 20:57:55,836 |     INFO | mcp_agent | info:110 | MCP Agent initialized
2025-05-25 20:57:55,837 |     INFO | mcp_agent | info:110 | Starting MCP Agent...
2025-05-25 20:57:55,840 |     INFO | mcp_agent | info:110 | Ollama connected. Available models: ['llava:13b', 'phi3:medium', 'mxbai-embed-large:latest', 'bge-m3:latest', 'nomic-embed-text:latest', 'llama2:latest', 'mistral:7b', 'neural-chat:7b', 'all-minilm:latest', 'mistral:latest', 'qllama/bge-reranker-large:latest', 'qllama/bge-large-en-v1.5:latest', 'orca2:latest', 'all-minilm:l6-v2']
2025-05-25 20:57:55,841 |     INFO | mcp_agent | info:110 | System monitoring started
2025-05-25 20:57:55,841 |     INFO | mcp_agent | info:110 | Perceiver started
2025-05-25 20:57:56,841 |     INFO | mcp_agent | info:110 | Controller started
2025-05-25 20:57:56,841 |     INFO | mcp_agent | info:110 | All components started successfully
2025-05-25 20:57:56,842 |     INFO | mcp_agent | info:110 | MCP Agent running. Press Ctrl+C to stop.
2025-05-25 20:57:56,843 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:57:56,843 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:57:56,843 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:57:58,844 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:57:58,844 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:57:58,845 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:00,845 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:00,845 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:00,845 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
